,formatted_address,input_address,latitude,longitude,no_of_results,status
0,"3895 Church St, Clarkston, GA 30021, USA","3895 Church Street, Clarkston, GA 30021, USA",33.8077297,-84.2399398,1,OK
1,"Koggiung, Naknek, AK 99633, USA","7665 Honey Abbey, Koggiung, MA",58.86694439999999,-157.0075001,1,OK
2,"262 S Sea Pines Dr #1701, Hilton Head Island, SC 29928, USA","9974 Round Bluff Villas, Hemp, NH",32.117802,-80.82594499999999,2,OK
3,"1103 Bombay Ln, Roswell, GA 30076, USA","1103 Bombay Lane, Roswell, GA 30076, USA",34.053926,-84.33830909999999,1,OK
4,"Lumpkin, GA 31815, USA","8462 Lazy Walk, Lumpkin, VA",32.0509895,-84.7990901,2,OK
5,"Bowbells, ND 58721, USA","4716 Cinder Cider Green, Bowbells, NH",48.8030833,-102.2460008,2,OK
6,"Hidden Alley Dr, Katy, TX 77494, USA","7206 Hidden Alley, Badnation, HI",29.7006797,-95.8055947,1,OK
7,"2991 Middle Branch Trail, Baltimore, MD 21230, USA","2991 Middle Branch Corner, Baltimore, MS",39.2628929,-76.6312911,1,OK
8,"Vermont, USA","4501 Harvest Lagoon Trail, Screamer, VT",44.5588028,-72.57784149999999,1,OK
9,"6375 Spalding Dr b, Norcross, GA 30092, USA",“6375 Spalding Drive Suite B Norcross”,33.969213,-84.2578815,1,OK
10,"4675 US-27, Carrollton, GA 30117, USA","4675 Highway 27 North, Carrollton, GA",33.67345299999999,-85.15016399999999,1,OK
11,"5370 Ash St, Forest Park, GA 30297, USA",5370 Ash Street,33.6077576,-84.3631616,1,OK
12,"1978 Mt Vernon Rd, Dunwoody, GA 30338, USA","1978 Mount Vernon Road, Atlanta, GA 30338, USA",33.9512386,-84.3205938,1,OK
13,"New Hampshire, USA","4827 Indian Wharf, Dew Drop, NH, 03637-1315",43.1938516,-71.5723953,1,OK
14,"Sioux Lookout, ON P0V, Canada","9418 Lost Stead, Sioux Lookout, ME",50.0978321,-91.922038,1,OK
15,"288 Rocky Creek Rd, Greenville, SC 29607, USA","3185 Rocky Valley, Bumble Bee, ND",34.82081900000001,-82.274762,1,OK
16,,"180 Foggy Lane, Line Store, MS",,,0,ZERO_RESULTS
17,"Kentucky, USA","4535 Silent Freeway, Bamboo, KY",37.8393332,-84.2700179,1,OK
18,"Bright Loop, Raleigh, NC 27613, USA","6109 Bright Loop, Gaysport, WV",35.8841741,-78.7367844,1,OK
19,"Oklahoma, USA","8407 Fallen Moor, Oklahoma, WI",35.0077519,-97.092877,2,OK
20,"700 Central Ave, Louisville, KY 40208, USA","1761 Wishing Row, Churchill, PA",38.2029725,-85.7700383,1,OK
21,"Pennsylvania, USA","6704 Little Quail Beach, Khwunrghunme, PA",41.2033216,-77.1945247,1,OK
22,"Absaraka, ND, USA","5167 Gentle Butterfly Arbor, Absaraka",46.97763339999999,-97.3953528,1,OK
23,,"3837 Jagged Rise Point, Glenavon, ID",,,0,ZERO_RESULTS
24,"Arizona, USA","3230 Cotton Diversion, New Market, AZ",34.0489281,-111.0937311,1,OK
25,"Dry Prong, LA 71423, USA","1684 Colonial Prairie Parade, Dry Prong, SD",31.5812854,-92.53292019999999,1,OK
26,"249 Waddell St, Athens, GA 30605, USA","249 Waddell Street, Athens, GA",33.9538388,-83.3792311,1,OK
27,"4134, 5514 Cascade Rd, Lake Placid, NY 12946, United States","4889 Burning Horse Circuit, Hanna, NY",44.26101999999999,-73.962555,1,OK
28,"Chuloonawick, AK, USA","99 Shady Bear Extension, Chuloonawick, GA",62.94611109999999,-164.1722221,2,OK
29,"Kracker Station, MS 39117, USA","662 Colonial Beacon Highway, Kracker Station, OK",32.277369,-89.68535089999999,2,OK
30,"Connecticut, USA","2625 Middle Townline, Dot, CT",41.6032207,-73.087749,1,OK
31,"Crystal Bay, NV, USA","2470 Crystal Bay, Chaplin, MS",39.2278272,-120.0047095,1,OK
32,"4368 Hartley Bridge Rd, Macon, GA 31216, USA","4368 Hartley Bridge Road, Macon, GA",32.742335,-83.71754500000002,1,OK
33,,"1183 Golden Cape, Chew, ME",,,0,ZERO_RESULTS
34,"Texas, USA","8276 Easy Towers, Cantaloupe, TX",31.9685988,-99.9018131,1,OK
35,"Glen Comfort, CO 80515, USA","6278 Umber Lake Downs, Glen Comfort, TN",40.3935948,-105.4402726,2,OK
36,"Austin, TX 78712, USA","3199 Merry Maze, Powassan, UT",30.2849185,-97.7340567,1,OK
37,,"1310 Emerald Meadow, Folly, SD",,,0,ZERO_RESULTS
38,"4th, 3514 N Vancouver Ave, Portland, OR 97227, USA","1125 Cozy Elk Centre, Wakatomika, SD",45.5485024,-122.6677464,1,OK
39,"4350 Rodney Parham Rd, Little Rock, AR 72212, USA","4350 Rocky Ridge, Rodney, CT",34.790874,-92.3971878,1,OK
40,"Harpers Ferry National Historical Park, 767 Shenandoah St, Harpers Ferry, WV 25425, USA","9678 Stony Branch Park, Curtin, WV",39.3228224,-77.7292073,1,OK
41,"Cloud Chief, OK 73632, USA","8447 Lazy Glade, Cloud Chief, ND",35.2525543,-98.843127,2,OK
42,"10 Winslow Pl, Weatogue, CT 06089, USA","1983 Little Anchor Private, Riverview, CT",41.8508709,-72.8112566,1,OK
43,"207 Simmons St, Mt Pleasant, SC 29464, USA","4564 Pleasant Sky Front, Counselor, CO",32.7917685,-79.8756277,1,OK
44,"Honey Blossom Dr, Orlando, FL 32824, USA","5942 Honey Blossom Freeway, Busti, MA",28.3840829,-81.3568591,1,OK
45,,"7327 Tawny Hills Way, Buffalolick, ID",,,0,ZERO_RESULTS
46,"21501 Emery Rd, North Randall, OH 44128, USA","8335 Heather Edge, Thistledown, WV",41.436245,-81.530929,2,OK
47,"Connecticut, USA","1967 Grand Rabbit Pointe, Radical, CT",41.6032207,-73.087749,1,OK
48,"3100 8th St, Columbus, GA 31906, USA","3100 8th Street, Columbus, GA",32.459659,-84.94504599999999,1,OK
49,"Idahome, ID 83323, USA","1203 Cozy Mews, Idahome, VT",42.41546719999999,-113.3997237,2,OK
50,"Robin Pkwy, Madison, WI 53705, USA","6025 Gentle Robin Parkway, Live Easy, AR",43.06190429999999,-89.4541327,1,OK
51,"5726 59th St Ct W, University Place, WA 98467, USA","3967 Hidden Vale, Obsidian, MO",47.203973,-122.512103,2,OK
52,"Toy Jones Rd, Laurel, MS 39443, USA","4896 Shady Drive, Toy, MS",31.7631839,-89.1446763,1,OK
53,"Duval, Sahuarita, AZ 85629, USA","6616 Heather Spring Road, Duval, AZ",31.9317491,-110.9581459,1,OK
54,"South Carolina, USA","5157 Velvet Place, Fort Fizzle, SC",33.836081,-81.1637245,1,OK
55,,"8621 Stony Alley, Tobasco, IN",,,0,ZERO_RESULTS
56,"Horse Shoe Run, WV 26716, USA","2823 Merry Beacon Highlands, Horse Shoe Run, CA",39.2709385,-79.5142206,2,OK
57,"306 W Main St, Pen Argyl, PA 18072, USA","5756 Old Manor, Star, PA",40.865085,-75.256188,1,OK
58,"Swift Bird Rd, Pine Ridge, SD 57770, USA","197 Indian Park, Birds Landing, SD",43.0281074,-102.4555886,4,OK
59,"Kerrobert, SK S0L 1R0, Canada","1290 Dusty Rise, Kerrobert, NJ",51.9185447,-109.136794,2,OK
60,"4172 Broadview Ln, Vancouver, WA 98661, USA","4172 Broad Wynd, Beaverton, NE",45.6314202,-122.6081665,1,OK
61,"2450 NW 150th St, Opa-locka, FL 33054, USA","2450 Northwest 150th Street, Opa-locka, FL",25.9106846,-80.2421513,1,OK
62,"145 W Pennsylvania Ave, Southern Pines, NC 28387, USA","4471 Bright Pines, Pilot Butte, NJ",35.174722,-79.392493,1,OK
63,"Prohibition City, Middlefork Township, MO 64456, USA","7722 Quaking Arbor, Prohibition City, NJ",40.4230481,-94.40495829999999,2,OK
64,"Tumtum, WA, USA","5617 Green Range, Tumtum, OH",47.89119849999999,-117.6843461,1,OK
65,"N Rocky Brook Dr, Tucson, AZ 85743, USA","4190 Rocky Brook Grounds, Trump, AZ",32.3569275,-111.1235406,1,OK
66,"Vibank, SK S0G, Canada","3074 Middle Pond Corner, Vibank, ID",50.3341298,-103.9458113,1,OK
67,,"4228 Cinder Wagon Gardens, Dovetail, MS",,,0,ZERO_RESULTS
68,"12303 SW 133rd Ct, Miami, FL 33186, USA","12303 Southwest 133rd Court, Miami, FL",25.652899,-80.41042499999999,1,OK
69,"Rocky Ripple, IN 46208, USA","7843 Fallen Carrefour, Rocky Ripple, HI",39.848097,-86.1724881,1,OK
70,,"8215 Blue Concession, Vixen, CO",,,0,ZERO_RESULTS
